day_of_year,savings,time_of_shed
0,5.106,5.0
1,5.1705,2.25
2,5.1215,0.0
3,5.07625,6.0
4,5.01525,5.0
5,5.14375,0.0
6,5.097,0.0
7,5.1115,0.0
8,5.22475,9.0
9,5.19975,8.0
10,5.1585,0.5
11,5.116,7.75
12,5.13975,0.0
13,5.143,0.0
14,5.09975,2.0
15,5.03575,0.0
16,5.02275,0.0
17,5.119,0.0
18,5.039,0.0
19,5.14025,0.0
20,5.00625,0.5
21,5.1565,0.0
22,5.03525,0.0
23,5.20675,0.0
24,5.05425,0.0
25,5.1535,0.0
26,5.1565,0.0
27,5.06375,4.0
28,5.0685,6.0
29,5.14125,0.0
30,5.05975,0.25
31,5.20525,0.5
32,5.29075,0.5
33,5.26825,0.5
34,5.1485,0.25
35,5.19525,9.0
36,5.15075,2.0
37,5.1445,0.5
38,5.2745,0.75
39,5.28175,1.75
40,5.292,0.25
41,5.07525,1.25
42,5.20075,0.25
43,5.28275,0.75
44,5.2,0.0
45,5.18375,0.75
46,5.20675,1.75
47,5.18525,0.25
48,5.06475,9.0
49,5.141,8.0
50,5.08925,6.0
51,5.13275,0.25
52,5.08275,0.0
53,5.0385,0.5
54,5.05225,0.0
55,5.35725,1.0
56,5.2925,1.0
57,5.261,1.5
58,5.11125,0.5
59,5.1065,11.0
60,5.05725,2.0
61,5.10825,9.25
62,5.04,10.25
63,5.042,10.25
64,5.14825,10.0
65,5.11325,9.0
66,5.079,1.0
67,5.10175,2.0
68,5.14475,15.0
69,5.107,12.5
70,4.97725,10.0
71,5.048,12.25
72,4.88125,7.5
73,5.0075,3.0
74,4.99125,10.5
75,4.998,10.0
76,4.963,10.25
77,5.00925,9.75
78,5.111,12.25
79,4.98975,10.0
80,4.99825,3.25
81,4.93475,10.0
82,5.03375,10.0
83,4.9865,1.5
84,4.86875,9.75
85,4.97825,10.0
86,4.94025,1.5
87,5.0135,10.0
88,4.98525,10.0
89,4.90325,8.0
90,4.92675,9.25
91,4.90625,9.25
92,4.89725,9.75
93,4.907,10.0
94,4.87925,9.75
95,4.858,9.5
96,4.8995,8.75
97,4.93525,9.0
98,4.83,10.0
99,4.90675,10.0
100,4.893,9.25
101,4.90125,9.75
102,4.81025,9.0
103,4.893,9.5
104,4.834,9.0
105,4.831,9.25
106,4.8525,9.25
107,4.815,9.25
108,5.1175,8.75
109,5.1085,9.0
110,5.0325,9.0
111,5.04175,8.25
112,5.104,8.75
113,5.18175,9.25
114,4.86025,8.0
115,4.75025,9.25
116,4.992,9.25
117,5.00325,9.0
118,4.96575,8.25
119,4.99,9.75
120,4.57175,10.0
121,4.69425,9.75
122,4.41325,9.25
123,4.51675,9.25
124,4.64675,9.25
125,4.545,8.0
126,4.4365,3.0
127,4.51125,9.25
128,4.6465,8.0
129,4.6925,6.75
130,4.54575,9.5
131,4.665,9.25
132,4.48275,1.75
133,4.685,9.0
134,4.5985,9.25
135,4.653,9.0
136,4.44775,2.0
137,4.64375,9.25
138,4.64725,9.0
139,4.42625,1.5
140,4.61025,9.0
141,4.709,9.0
142,4.64575,3.0
143,4.583,9.0
144,4.7095,9.5
145,4.6725,8.5
146,4.5225,8.0
147,4.6095,9.25
148,4.46775,9.0
149,4.65775,9.0
150,4.64825,9.25
151,4.30575,1.75
152,4.738,8.25
153,4.80425,8.25
154,4.6995,8.5
155,4.7765,8.25
156,4.74775,6.75
157,4.781,8.75
158,4.68825,8.0
159,4.71575,7.75
160,4.709,8.0
161,4.752,8.5
162,4.7525,9.25
163,4.7375,8.0
164,4.76625,5.25
165,4.7905,9.5
166,4.7795,1.75
167,4.809,8.0
168,4.70675,8.0
169,4.72925,8.75
170,4.6655,8.75
171,4.78025,8.75
172,4.8295,8.75
173,4.82575,8.0
174,4.75175,7.0
175,4.696,8.25
176,4.77425,8.25
177,4.83575,8.75
178,4.739,8.0
179,4.666,2.0
180,4.673,5.0
181,4.6875,8.75
182,4.6765,1.5
183,4.7095,2.0
184,4.664,1.5
185,4.632,1.5
186,4.7385,0.0
187,4.96225,2.0
188,4.9275,2.0
189,4.89,18.0
190,4.85425,0.25
191,4.93275,17.0
192,4.9035,0.75
193,4.97125,18.75
194,4.8575,0.75
195,4.86325,9.0
196,4.64375,7.75
197,4.839,2.0
198,4.91925,2.0
199,4.9505,2.0
200,4.965,1.0
201,4.897,2.0
202,4.8615,9.25
203,4.874,0.5
204,4.94725,0.75
205,5.08625,18.0
206,5.01725,2.0
207,4.97725,1.0
208,4.9795,1.5
209,4.81075,9.75
210,4.928,1.5
211,4.97575,1.75
212,4.93025,10.0
213,5.00375,10.0
214,4.913,11.0
215,5.10925,18.75
216,4.838,9.5
217,5.0435,18.0
218,5.0775,18.0
219,5.0975,18.0
220,4.96625,15.25
221,5.0395,18.75
222,5.1075,18.5
223,5.064,18.75
224,4.911,18.5
225,4.7685,1.0
226,4.83975,1.0
227,4.84525,0.5
228,4.816,0.75
229,4.8275,9.75
230,4.813,9.5
231,4.855,0.0
232,4.8785,9.25
233,4.81925,0.75
234,4.76825,9.0
235,4.8295,9.25
236,4.89525,9.75
237,4.811,9.5
238,4.779,9.25
239,4.877,9.5
240,4.754,9.5
241,4.76825,9.75
242,4.80425,9.75
243,4.845,9.25
244,4.885,9.75
245,4.947,9.25
246,4.93775,9.25
247,4.871,10.5
248,4.85675,9.75
249,4.977,18.75
250,4.9075,9.5
251,4.84675,9.25
252,4.91275,9.0
253,4.876,9.5
254,4.88325,11.0
255,4.8415,11.0
256,4.85075,9.75
257,4.9445,9.75
258,4.87825,9.75
259,4.969,9.75
260,4.90775,9.5
261,4.904,9.75
262,4.84175,9.5
263,4.912,9.25
264,4.97925,9.5
265,4.893,9.5
266,4.89375,10.25
267,4.865,9.0
268,5.0,9.75
269,4.93425,9.25
270,4.8835,9.75
271,4.93575,9.75
272,4.9195,9.0
273,5.07125,12.25
274,5.12625,11.5
275,5.0765,12.0
276,5.09075,10.5
277,5.108,10.25
278,4.9305,10.0
279,4.954,9.75
280,4.949,10.5
281,5.08325,0.0
282,4.96525,10.25
283,4.99975,11.75
284,5.04125,0.0
285,5.04175,0.75
286,5.0075,10.5
287,4.989,9.75
288,4.97075,10.0
289,4.961,0.0
290,5.038,10.5
291,4.98775,10.5
292,4.969,0.0
293,5.02375,10.0
294,5.013,10.5
295,5.04525,11.75
296,5.00475,0.0
297,5.0335,10.75
298,4.98875,0.0
299,5.105,0.0
300,5.0245,0.0
301,5.01825,0.0
302,5.01625,10.5
303,5.019,10.75
304,4.9445,9.25
305,4.924,18.75
306,4.91725,10.0
307,4.9885,0.5
308,4.99525,8.0
309,4.97625,0.5
310,5.042,0.0
311,5.06825,0.0
312,5.0105,0.0
313,4.98825,0.0
314,4.9575,0.5
315,4.95925,1.0
316,4.96925,9.25
317,5.004,9.0
318,4.96175,0.0
319,4.9295,9.0
320,4.939,10.0
321,4.9165,0.0
322,4.92325,11.0
323,4.905,2.0
324,4.912,1.0
325,4.97575,10.0
326,5.01275,0.0
327,4.98025,10.0
328,4.9375,0.0
329,4.91975,0.0
330,4.89925,0.0
331,5.0635,1.0
332,4.94525,0.0
333,4.967,1.0
334,5.139,8.0
335,5.1635,8.0
336,5.1575,13.5
337,5.28275,18.75
338,5.131,12.25
339,5.19525,18.0
340,5.05275,12.0
341,5.1915,8.0
342,5.18275,18.75
343,5.2085,13.0
344,5.16075,6.0
345,5.13475,6.0
346,5.15425,2.0
347,5.1785,2.0
348,5.132,9.0
349,5.43,18.75
350,5.32625,18.75
351,5.20575,2.25
352,5.34175,18.75
353,5.385,18.0
354,5.2,16.0
355,5.251,0.0
356,5.22975,9.0
357,5.3475,0.75
358,5.403,1.0
359,5.236,1.0
360,5.23375,2.75
361,5.17175,13.0
362,5.155,10.0
363,5.2095,2.0
364,5.17275,0.75
